"","time","cif.control","cif.control.lower","cif.control.upper","cif.exposure","cif.exposure.lower","cif.exposure.upper"
"45",0.9171800137,0.135941681851042,0.0972559213261057,0.158524627645098,0.107000165343017,0.0922996858194522,0.17712539946572
"46",0.9199178645,0.138105923330333,0.0989303292771972,0.160014971192481,0.108732592937032,0.0947354517047455,0.179838330379922
"47",0.9336071184,0.139938317389029,0.100410724573196,0.162733877053113,0.110200102934943,0.0947696306270218,0.181520808604515
"48",0.9418206708,0.141791928404804,0.10493813177308,0.164856011291997,0.111685342631575,0.0960135970609894,0.184212219881926
"49",0.9445585216,0.143852641228278,0.10496094083154,0.170982159669538,0.113337440853266,0.0985879049469433,0.185740639574111
"50",0.9609856263,0.145638732562319,0.10955167611091,0.171709737124625,0.114770060476312,0.0999719423917735,0.189631388499801
"51",0.9883641342,0.147388189421739,0.111311016413995,0.172245186483778,0.116173958147139,0.100024161803266,0.193506678380911
"52",1.0431211499,0.149236747468084,0.113089760930989,0.172245186483778,0.117658123813297,0.101383078975369,0.195818769715546
"53",1.0513347023,0.151411401912788,0.113089760930989,0.174571620736943,0.119405134547453,0.101825570850218,0.196088059476122
"54",1.0568104038,0.153523046611375,0.114778708930552,0.175242830303678,0.121102500168037,0.103105808027387,0.197880109428608
"55",1.067761807,0.155655234495102,0.11951783367092,0.177358001359619,0.122817374632258,0.10490616715613,0.198088265501023
"56",1.0704996578,0.157786230007987,0.120605241978612,0.179178797492838,0.124532288097363,0.107461177311054,0.200415674008044
"57",1.0951403149,0.157786230007987,0.120605241978612,0.179178797492838,0.124532288097363,0.107461177311054,0.200415674008044
"58",1.1225188227,0.159885994343403,0.120656282980926,0.182305228108384,0.126223040326566,0.110142472812213,0.202114986137659
"59",1.1553730322,0.161702650724876,0.124012635695679,0.182580515191621,0.127686560603112,0.110726831263617,0.204549435770644
"60",1.1608487337,0.163553066358782,0.12726639220936,0.187087420715697,0.129178036721872,0.112302844313821,0.206109664524592
"61",1.1718001369,0.165374031954692,0.129209518891625,0.187137053822975,0.130646512468123,0.11409316336572,0.206821860466476
"62",1.18275154,0.167210612487453,0.129271827850013,0.187173562138714,0.132128332281967,0.116551568037267,0.210011209089174
"63",1.1854893908,0.169327537707092,0.131243220955676,0.190991836794253,0.133837346272582,0.118103162718739,0.211995334519616
"64",1.1937029432,0.171114133156058,0.132394863200086,0.193624502872459,0.135280397449819,0.11824755189077,0.215589512063372
"65",1.2265571526,0.173837044178421,0.132394863200086,0.194806686234151,0.137481388909246,0.120429550493778,0.218957731974803
"66",1.2292950034,0.175653670693392,0.132494906433858,0.198224635377012,0.138950554705105,0.123184845320701,0.220898211574999
"67",1.2676249144,0.178198424883882,0.134156698198175,0.201914647892618,0.141010048558042,0.125878228182821,0.223359503373593
"68",1.2703627652,0.179988752652602,0.135859042116193,0.202554128545033,0.142459706160154,0.127618534113713,0.226827193806633
"69",1.2840520192,0.181825302447345,0.13850016384993,0.203506189488722,0.143947558967446,0.127738738270722,0.230773375396826
"70",1.2895277207,0.182824635800708,0.141912247588276,0.20591972419851,0.144757381549714,0.12878982183794,0.231705569266855
"71",1.2977412731,0.184890456159316,0.143620256983882,0.20763682862125,0.146432422377057,0.132227627453065,0.232818354729792
"72",1.3032169747,0.184890456159316,0.143620256983882,0.20763682862125,0.146432422377057,0.132227627453065,0.232818354729792
"73",1.3305954825,0.186747829357136,0.143621646455353,0.210371000281757,0.14793961272684,0.134640783067675,0.234934286395236
"74",1.3716632444,0.188680815297313,0.145998748627939,0.213238106018448,0.149509022352015,0.134980263989145,0.236892860010469
"75",1.3853524983,0.190302538684442,0.14963203050449,0.213238106018448,0.150826323454378,0.135942994541226,0.239677766396742
"76",1.3880903491,0.192032637856385,0.153122015589664,0.213317805196154,0.152232350931213,0.137350574617859,0.241636188745462
"77",1.4072553046,0.192032637856385,0.153122015589664,0.213317805196154,0.152232350931213,0.137350574617859,0.241636188745462
"78",1.4154688569,0.193818111606248,0.153328047163667,0.215680448391533,0.153684767689171,0.138038976174906,0.243649330767526
"79",1.4182067077,0.195640070649564,0.155262879033741,0.215680448391533,0.155167641577435,0.138038976174906,0.243699822358428
"80",1.4373716632,0.197763725870946,0.157061988850717,0.216228261518611,0.15689712294075,0.143579779785746,0.245614384369568
"81",1.4483230664,0.199592497245921,0.157371033227309,0.218628052259249,0.158387870777211,0.143667234816319,0.249707746895742
"82",1.4510609172,0.201413078398796,0.159086320708494,0.222312720651917,0.159872728982048,0.143667234816319,0.25097569953452
"83",1.4620123203,0.201413078398796,0.159086320708494,0.222312720651917,0.159872728982048,0.143667234816319,0.25097569953452
